instant,date,season,year,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,2011,1,0,Sat,weekend,2,8.175849,7.99925,0.805833,0.160446,331,654,985
2,2011-01-02,1,2011,1,0,Sun,weekend,2,9.083466000000001,7.3467740000000035,0.696087,0.248539,131,670,801
3,2011-01-03,1,2011,1,0,Mon,workday,1,1.229108,-3.499270000000001,0.437273,0.248309,120,1229,1349
4,2011-01-04,1,2011,1,0,Tue,workday,1,1.4000000000000004,-1.9999479999999998,0.590435,0.160296,108,1454,1562
5,2011-01-05,1,2011,1,0,Wed,workday,1,2.6669789999999995,-0.8681800000000006,0.436957,0.1869,82,1518,1600
6,2011-01-06,1,2011,1,0,Thu,workday,1,1.6043559999999992,-0.6082059999999991,0.518261,0.0895652,88,1518,1606
7,2011-01-07,1,2011,1,0,Fri,workday,2,1.2365340000000007,-2.2166259999999998,0.498696,0.168726,148,1362,1510
8,2011-01-08,1,2011,1,0,Sat,weekend,2,-0.24499999999999922,-5.291236,0.535833,0.266804,68,891,959
9,2011-01-09,1,2011,1,0,Sun,weekend,1,-1.4983489999999993,-8.33245,0.434167,0.36195,54,768,822
10,2011-01-10,1,2011,1,0,Mon,workday,1,-0.9108490000000007,-6.041392,0.482917,0.223267,41,1280,1321
11,2011-01-11,1,2011,1,0,Tue,workday,2,-0.0527230000000003,-3.3633760000000006,0.686364,0.122132,43,1220,1263
12,2011-01-12,1,2011,1,0,Wed,workday,1,0.11816899999999997,-5.408782,0.599545,0.304627,25,1137,1162
13,2011-01-13,1,2011,1,0,Thu,workday,1,-0.24499999999999922,-6.041722,0.470417,0.301,38,1368,1406
14,2011-01-14,1,2011,1,0,Fri,workday,1,-0.43910999999999945,-3.5647420000000007,0.537826,0.126548,54,1367,1421
15,2011-01-15,1,2011,1,0,Sat,weekend,2,2.9666510000000006,0.3753920000000015,0.49875,0.157963,222,1026,1248
16,2011-01-16,1,2011,1,0,Sun,weekend,1,2.888349,-0.5416779999999992,0.48375,0.188433,251,953,1204
17,2011-01-17,1,2011,1,1,Mon,weekend,2,0.264151,-4.333113999999998,0.5375,0.194017,117,883,1000
18,2011-01-18,1,2011,1,0,Tue,workday,2,2.1833489999999998,-0.6660219999999999,0.861667,0.146775,9,674,683
19,2011-01-19,1,2011,1,0,Wed,workday,2,5.732177999999999,3.695852000000002,0.741739,0.208317,78,1572,1650
20,2011-01-20,1,2011,1,0,Thu,workday,2,4.298349,0.8333000000000013,0.538333,0.195904,83,1844,1927
21,2011-01-21,1,2011,1,0,Fri,workday,1,0.34249999999999936,-5.583022,0.457083,0.353242,75,1468,1543
22,2011-01-22,1,2011,1,0,Sat,weekend,1,-5.2208711999999995,-10.7814064,0.4,0.17197,93,888,981
23,2011-01-23,1,2011,1,0,Sun,weekend,1,-3.4634801,-9.4766194,0.436522,0.2466,150,836,986
24,2011-01-24,1,2011,1,0,Mon,workday,1,-3.4226089,-8.21662,0.491739,0.15833,86,1330,1416
25,2011-01-25,1,2011,1,0,Tue,workday,2,2.5034660000000013,-0.5212839999999996,0.616957,0.129796,186,1799,1985
26,2011-01-26,1,2011,1,0,Wed,workday,3,2.2225,-2.5624000000000002,0.8625,0.29385,34,472,506
27,2011-01-27,1,2011,1,0,Thu,workday,1,1.165000000000001,-1.4998000000000005,0.6875,0.113837,15,416,431
28,2011-01-28,1,2011,1,0,Fri,workday,2,1.563466,-1.2610780000000013,0.793043,0.1233,38,1129,1167
29,2011-01-29,1,2011,1,0,Sat,weekend,1,1.2365340000000007,-1.9996840000000002,0.651739,0.145365,123,975,1098
30,2011-01-30,1,2011,1,0,Sun,weekend,1,2.176534,0.5212520000000005,0.722174,0.0739826,140,956,1096
31,2011-01-31,1,2011,1,0,Mon,workday,2,0.49915099999999946,-3.7074999999999996,0.60375,0.187192,42,1459,1501
32,2011-02-01,1,2011,2,0,Tue,workday,2,1.032178,-0.52102,0.829565,0.053213,47,1313,1360
33,2011-02-02,1,2011,2,0,Wed,workday,2,4.220000000000001,0.7915220000000005,0.775417,0.264308,72,1454,1526
34,2011-02-03,1,2011,2,0,Thu,workday,1,0.7869790000000005,-4.260052,0.437826,0.277752,61,1489,1550
35,2011-02-04,1,2011,2,0,Fri,workday,2,1.9312880000000003,-0.913257999999999,0.585217,0.127839,88,1620,1708
36,2011-02-05,1,2011,2,0,Sat,weekend,2,2.9666510000000006,0.041827999999998866,0.929167,0.161079,100,905,1005
37,2011-02-06,1,2011,2,0,Sun,weekend,1,5.434151,3.2502860000000027,0.568333,0.1418,354,1269,1623
38,2011-02-07,1,2011,2,0,Mon,workday,1,4.768348999999999,4.041428,0.738333,0.0454083,120,1592,1712
39,2011-02-08,1,2011,2,0,Tue,workday,1,2.3791510000000002,-2.9157639999999994,0.537917,0.36195,64,1466,1530
40,2011-02-09,1,2011,2,0,Wed,workday,2,-1.6651990000000003,-6.477322000000001,0.494783,0.188839,53,1552,1605
41,2011-02-10,1,2011,2,0,Thu,workday,1,-1.2156440000000002,-6.129832,0.437391,0.221935,47,1491,1538
42,2011-02-11,1,2011,2,0,Fri,workday,1,0.887277000000001,-1.9084059999999994,0.506364,0.10855,149,1597,1746
43,2011-02-12,1,2011,2,0,Sat,weekend,1,2.4574999999999996,-0.6250359999999997,0.544167,0.203367,288,1184,1472
44,2011-02-13,1,2011,2,0,Sun,weekend,1,6.876534000000001,5.391458,0.457391,0.260883,397,1192,1589
45,2011-02-14,1,2011,2,0,Mon,workday,1,11.504999999999999,10.2911,0.375833,0.417908,208,1705,1913
46,2011-02-15,1,2011,2,0,Tue,workday,1,4.506089000000001,0.7820840000000011,0.314348,0.291374,140,1675,1815
47,2011-02-16,1,2011,2,0,Wed,workday,1,6.958267000000001,4.869199999999999,0.423478,0.251791,218,1897,2115
48,2011-02-17,1,2011,2,0,Thu,workday,1,12.484151,12.291428,0.505,0.230104,259,2216,2475
49,2011-02-18,1,2011,2,0,Fri,workday,1,16.518349,17.790878,0.516667,0.264925,579,2348,2927
50,2011-02-19,1,2011,2,0,Sat,weekend,1,10.760849,9.832663999999998,0.187917,0.507463,532,1103,1635
51,2011-02-20,1,2011,2,0,Sun,weekend,1,5.405199,2.3037799999999997,0.407826,0.223235,639,1173,1812
52,2011-02-21,1,2011,2,1,Mon,weekend,2,6.2566510000000015,2.7489500000000007,0.605,0.307846,195,912,1107
53,2011-02-22,1,2011,2,0,Tue,workday,1,0.5644340000000003,-3.7218219999999995,0.577778,0.195683,74,1376,1450
54,2011-02-23,1,2011,2,0,Wed,workday,1,2.4217329999999997,0.21732199999999935,0.423043,0.094113,139,1778,1917
